Unique ID,Numeric Animal ID,Capture Number,SAT-1,SAT-2,SAT-3
43-0814,43,4,1.2,1.2,1.2
43-1014,43,5,1.9,1.2,1.4
43-1214,43,6,2.0,2.0,1.4
43-0215,43,7,2.3,2.3,1.9
43-0615,43,8,1.8,1.9,1.5
43-0815,43,9,1.9,1.9,1.6
43-1015,43,10,2.3,1.8,1.8
43-1115,43,11,2.30,1.68,1.74
43-0216,43,12,2.30,1.84,1.71
43-0516,43,13,2.4,2,1.8
43-0816,43,14,2.4,1.8,1.5
43-1016,43,15,2.2,1.4,1.2
43-1216,43,16,2.3,1.2,1.6
43-0217,43,17,2.2,1.7,1.6
43-0517,43,18,,,
43-0817,43,19,,,
44-0314,44,1,1.2,2.3,1.6
44-0614,44,3,2.3,2.3,1.7
44-0814,44,4,2.0,2.0,1.2
44-1014,44,5,2.3,2.3,1.4
44-1214,44,6,,,
44-0215,44,7,2.3,2.3,1.6
44-0615,44,8,2.3,2.3,1.6
44-0815,44,9,2.3,2.3,1.8
44-1015,44,10,2.3,2.3,1.7
44-1115,44,11,2.30,1.90,1.67
44-0216,44,12,2.30,1.92,1.45
44-0516,44,13,2.4,2.1,1.5
44-0816,44,14,2.4,2.1,1.2
44-1016,44,15,2.4,1.8,1.2
44-1216,44,16,2.3,1.2,1.2
44-0217,44,17,2.4,2,1.2
44-0517,44,18,,,
44-0817,44,19,,,
45-0314,45,1,1.2,2.3,1.2
45-0614,45,3,2.3,2.3,1.8
45-0814,45,4,1.8,1.9,1.5
45-1014,45,5,2.3,2.3,1.4
45-1214,45,6,2.3,2.3,1.6
45-0215,45,7,2.3,2.3,2.3
45-0615,45,8,2.1,2.3,1.8
45-0815,45,9,2.3,2.3,2.0
45-1015,45,10,2.3,2.3,2.3
45-1115,45,11,2.30,1.88,1.81
45-0216,45,12,2.30,2.30,1.90
45-0516,45,13,2.4,2.4,2
45-0816,45,14,2.4,2.3,1.8
45-1016,45,15,2.4,1.8,1.2
45-1216,45,16,2.3,1.2,1.4
45-0217,45,17,2.2,2.3,1.3
45-0517,45,18,,,
46-0314,46,1,,,
47-0615,47,8,2.3,2.3,2.3
47-0815,47,9,1.9,2.3,2.3
47-1015,47,10,1.6,2.3,2.0
47-1115,47,11,2.30,2.30,2.30
47-0216,47,12,2.30,2.30,2.30
47-0516,47,13,2.3,2.4,2.2
47-0816,47,14,2.4,2.4,1.9
47-1016,47,15,2.1,2.3,1.7
47-1216,47,16,2.3,2.2,2
47-0217,47,17,2.2,2.3,2
47-0517,47,18,,,
47-0817,47,19,,,
48-0615,48,8,2.3,2.1,2.0
48-0815,48,9,2.3,2.3,1.6
48-1015,48,10,2.1,1.8,1.5
48-1115,48,11,2.30,1.73,1.51
49-0314,49,1,1.2,2.3,1.2
49-0614,49,3,1.9,2.3,1.7
49-0814,49,4,2.3,2.3,1.8
49-1014,49,5,2.3,1.7,2.3
49-1214,49,6,1.2,1.5,1.2
49-0215,49,7,2.3,2.3,2.3
49-0615,49,8,2.3,2.3,2.0
49-0815,49,9,2.3,2.3,1.9
49-1015,49,10,1.2,2.3,1.5
49-1115,49,11,2.30,2.30,1.74
49-0216,49,12,2.30,2.30,1.78
49-0516,49,13,2.4,2.4,1.7
49-0816,49,14,2.4,2.4,1.5
49-1016,49,15,2.4,2.1,1.4
49-1216,49,16,,,
49-0217,49,17,2.4,2.4,1.7
49-0517,49,18,,,
49-0817,49,19,,,
50-0615,50,8,2.3,2.3,2.1
51-0314,51,1,1.9,2.3,1.6
51-0614,51,3,1.9,2.3,1.6
51-0814,51,4,1.8,1.9,1.2
51-1014,51,5,2.0,2.3,1.4
51-1214,51,6,2.3,2.3,1.6
51-0615,51,8,1.7,1.8,1.2
51-0815,51,9,1.9,2.3,1.2
51-1015,51,10,2.3,2.3,1.4
51-1115,51,11,2.30,1.95,1.30
51-0216,51,12,2.30,2.30,1.20
51-0516,51,13,2.4,2,1.2
51-0816,51,14,2.4,2.2,1.4
51-1016,51,15,2.3,1.9,1.2
51-1216,51,16,2.4,1.9,1.4
51-0217,51,17,2.2,2.1,1.2
52-0814,52,4,1.2,1.6,1.2
52-1014,52,5,1.4,1.9,1.2
52-1214,52,6,2.1,2.3,1.2
52-0215,52,7,1.9,2.0,1.5
52-0615,52,8,1.4,1.6,1.2
52-0815,52,9,1.6,2.1,1.2
52-1015,52,10,1.2,2.0,1.4
52-1115,52,11,2.30,1.92,1.83
52-0216,52,12,2.07,1.79,1.20
52-0516,52,13,2.2,1.8,1.2
52-0816,52,14,2.2,1.7,1.2
52-1016,52,15,2.1,1.4,1.2
52-1216,52,16,1.9,1.3,1.2
53-0615,53,8,2.2,2.3,2.3
53-0815,53,9,2.3,2.3,2.3
53-1015,53,10,2.1,2.0,2.1
53-1115,53,11,2.30,1.89,2.30
53-0216,53,12,2.30,2.30,2.30
53-0516,53,13,2.3,2.1,2.2
53-0816,53,14,2.4,1.9,1.9
53-1016,53,15,2.4,1.7,1.7
54-0814,54,4,2.1,2.3,1.2
54-1014,54,5,2.1,2.3,1.5
54-1214,54,6,2.3,2.3,2.1
54-0215,54,7,2.3,2.3,2.0
